Timestamp;Aplicativo;IP;Porta;Protocolo;Criptografia;Proto;Status
2025_06_04_17_18_26_534;System Idle Process;136.143.190.176;443;HTTPS;TLS/SSL (usada para webmail, APIs e conexões seguras);TCP;TIME_WAIT
2025_06_04_17_18_26_534;System Idle Process;172.183.192.109;443;HTTPS;TLS/SSL (usada para webmail, APIs e conexões seguras);TCP;TIME_WAIT
2025_06_04_17_18_26_534;System Idle Process;20.75.60.91;443;HTTPS;TLS/SSL (usada para webmail, APIs e conexões seguras);TCP;TIME_WAIT
2025_06_04_17_18_26_534;System Idle Process;2a01:111:f402:f089::53;443;HTTPS;TLS/SSL (usada para webmail, APIs e conexões seguras);TCP;TIME_WAIT
2025_06_04_17_18_26_534;System Idle Process;2603:1056:2000:28::83;443;HTTPS;TLS/SSL (usada para webmail, APIs e conexões seguras);TCP;TIME_WAIT
2025_06_04_17_18_26_534;System Idle Process;13.107.5.93;443;HTTPS;TLS/SSL (usada para webmail, APIs e conexões seguras);TCP;TIME_WAIT
2025_06_04_17_18_26_534;System Idle Process;204.141.43.151;443;HTTPS;TLS/SSL (usada para webmail, APIs e conexões seguras);TCP;TIME_WAIT
2025_06_04_17_18_26_534;System Idle Process;2620:1ec:33::10;443;HTTPS;TLS/SSL (usada para webmail, APIs e conexões seguras);TCP;TIME_WAIT
2025_06_04_17_18_26_534;System Idle Process;20.189.173.14;443;HTTPS;TLS/SSL (usada para webmail, APIs e conexões seguras);TCP;TIME_WAIT
2025_06_04_17_18_26_534;System Idle Process;2603:1056:2000:28::84;443;HTTPS;TLS/SSL (usada para webmail, APIs e conexões seguras);TCP;TIME_WAIT
2025_06_04_17_18_26_534;System Idle Process;2603:1056:1400::c;443;HTTPS;TLS/SSL (usada para webmail, APIs e conexões seguras);TCP;TIME_WAIT
2025_06_04_17_18_26_534;System Idle Process;2620:1ec:42::133;443;HTTPS;TLS/SSL (usada para webmail, APIs e conexões seguras);TCP;TIME_WAIT
2025_06_04_17_18_26_534;System Idle Process;2603:1063:b:11b::365:7ea3;443;HTTPS;TLS/SSL (usada para webmail, APIs e conexões seguras);TCP;TIME_WAIT
2025_06_04_17_18_26_534;System Idle Process;2620:1ec:bdf::33;443;HTTPS;TLS/SSL (usada para webmail, APIs e conexões seguras);TCP;TIME_WAIT
2025_06_04_17_18_26_534;System Idle Process;13.107.5.93;443;HTTPS;TLS/SSL (usada para webmail, APIs e conexões seguras);TCP;TIME_WAIT
2025_06_04_17_18_26_534;System Idle Process;2603:1056:c03:2420::2;443;HTTPS;TLS/SSL (usada para webmail, APIs e conexões seguras);TCP;TIME_WAIT
2025_06_04_17_18_26_534;System Idle Process;204.141.42.37;443;HTTPS;TLS/SSL (usada para webmail, APIs e conexões seguras);TCP;TIME_WAIT
2025_06_04_17_18_26_534;System Idle Process;2620:1ec:42::132;443;HTTPS;TLS/SSL (usada para webmail, APIs e conexões seguras);TCP;TIME_WAIT
2025_06_04_17_18_26_534;System Idle Process;20.190.173.67;443;HTTPS;TLS/SSL (usada para webmail, APIs e conexões seguras);TCP;TIME_WAIT
2025_06_04_17_18_26_534;System Idle Process;2620:1ec:bdf::33;443;HTTPS;TLS/SSL (usada para webmail, APIs e conexões seguras);TCP;TIME_WAIT
2025_06_04_17_18_26_534;System Idle Process;20.96.152.55;443;HTTPS;TLS/SSL (usada para webmail, APIs e conexões seguras);TCP;TIME_WAIT
2025_06_04_17_18_26_534;System Idle Process;13.107.5.93;443;HTTPS;TLS/SSL (usada para webmail, APIs e conexões seguras);TCP;TIME_WAIT
2025_06_04_17_18_26_534;System Idle Process;2603:1063:b::34;443;HTTPS;TLS/SSL (usada para webmail, APIs e conexões seguras);TCP;TIME_WAIT
2025_06_04_17_18_26_534;System Idle Process;2620:1ec:21::16;443;HTTPS;TLS/SSL (usada para webmail, APIs e conexões seguras);TCP;TIME_WAIT
2025_06_04_17_18_26_534;System Idle Process;204.141.42.49;443;HTTPS;TLS/SSL (usada para webmail, APIs e conexões seguras);TCP;TIME_WAIT
2025_06_04_17_18_26_534;System Idle Process;20.189.173.14;443;HTTPS;TLS/SSL (usada para webmail, APIs e conexões seguras);TCP;TIME_WAIT
